,precision,recall,f1-score,support
akiec,0.46808510638297873,0.3235294117647059,0.3826086956521739,68.0
bcc,0.38271604938271603,0.31,0.3425414364640884,100.0
bkl,0.33064516129032256,0.6,0.42634315424610053,205.0
df,0.04040404040404041,0.18181818181818182,0.06611570247933884,22.0
mel,0.3133159268929504,0.5405405405405406,0.39669421487603307,222.0
nv,0.9418367346938775,0.6771826852531181,0.7878787878787878,1363.0
vasc,0.4230769230769231,0.6470588235294118,0.5116279069767442,34.0
accuracy,0.6181727904667329,0.6181727904667329,0.6181727904667329,0.6181727904667329
macro avg,0.4142971345891155,0.4685899489865654,0.4162585569390381,2014.0
weighted avg,0.7479825023179368,0.6181727904667329,0.6596160275294086,2014.0
