,precision,recall,f1-score,support
akiec,0.4,0.5294117647058824,0.45569620253164556,68.0
bcc,0.52,0.39,0.44571428571428573,100.0
bkl,0.4423076923076923,0.44878048780487806,0.44552058111380144,205.0
df,0.11475409836065574,0.3181818181818182,0.1686746987951807,22.0
mel,0.2927927927927928,0.5855855855855856,0.39039039039039036,222.0
nv,0.9376181474480151,0.7278063096111519,0.8194960760016522,1363.0
vasc,0.3333333333333333,0.7647058823529411,0.4642857142857143,34.0
accuracy,0.6564051638530288,0.6564051638530288,0.6564051638530288,0.6564051638530288
macro avg,0.4344008663203556,0.5377816926060367,0.45568256411895286,2014.0
weighted avg,0.7580459460734802,0.6564051638530288,0.6901821575908822,2014.0
