,precision,recall,f1-score,support
akiec,0.5294117647058824,0.39705882352941174,0.453781512605042,68.0
bcc,0.5098039215686274,0.52,0.5148514851485149,100.0
bkl,0.44363636363636366,0.5951219512195122,0.5083333333333333,205.0
df,0.17307692307692307,0.4090909090909091,0.24324324324324326,22.0
mel,0.29908256880733947,0.7342342342342343,0.42503259452411996,222.0
nv,0.964509394572025,0.677916360968452,0.7962085308056872,1363.0
vasc,0.6129032258064516,0.5588235294117647,0.5846153846153846,34.0
accuracy,0.6534260178748759,0.6534260178748759,0.6534260178748759,0.6534260178748759
macro avg,0.504632023167659,0.5560351154934692,0.5037237263250465,2014.0
weighted avg,0.7862933881650092,0.6534260178748759,0.6908482435978691,2014.0
